binome_id,mentor_id,workfield,mentee_id,field_of_study,study_level,degree,needs,average_grade,program,engagement_score,desired_exchange_frequency,binome_score,target,binome_statut
100000,65795,Computer science,204628,Engineering,Bac+3,Master,[pro],Good,PNP,0.5249269019474647,Once a week,3.8514408114535486,0,REJECTED
100001,50860,Other,196532,"IT, IS, Data, Web, Tech",Bac+5+,Licence,"[pro, study]",Not specified (or Not provided),PP,2.5114108345570205,Once a week,0.0,0,REJECTED
100002,55390,Marketing,188694,"Banking, Insurance and Finance",Bac+3,BTS,[study],Average,PNP,0.0,Once a week,7.170197447272715,0,REJECTED
100003,61964,Other,197253,Other,Bac+5+,Master,"[pro, study]",Not specified (or Not provided),PP,0.9974965901401658,Once every two weeks (or Bi-weekly),3.2184155620006134,0,REJECTED
100004,61284,Engineering,183521,"IT, IS, Data, Web, Tech",Bac+1,Master,[pro],Good,PNP,2.5070004824159176,Once a week,3.775197447786141,0,REJECTED
100005,56265,nan,208890,"Education, Teaching",Bac+3,BTS,[pro],Good,PP,1.4386421606458357,Once every two weeks (or Bi-weekly),4.837394308917251,0,REJECTED
100006,66850,Teaching,200255,"Marketing, Communication",Bac+4,Master,[pro],Very good,PNP,2.2873909252559814,Once a week,5.902178554361545,1,COMPLETED
100007,54426,Banking-Finance,181300,Engineering,Bac+2,Autre,"[pro, study]",Not specified (or Not provided),PNP,0.24286316297512833,Once a week,0.0,0,REJECTED
100008,64423,Other,207075,"IT, IS, Data, Web, Tech",Bac+1,Master,"[pro, study]",Average,PNP,0.17473556865391093,Once every two weeks (or Bi-weekly),6.5109824349351655,0,REJECTED
100009,61363,nan,203979,"Law, Legal Studies",Bac+1,Master,[pro],Not specified (or Not provided),PNP,0.08206751418507957,Once every two weeks (or Bi-weekly),2.046164316705811,0,CANCELLED
100010,66023,Engineering,192225,"Education, Teaching",Bac+2,BTS,[pro],Below average,PNP,0.841040041486995,Once every two weeks (or Bi-weekly),7.592042578589885,0,REJECTED
100011,58322,Other,191481,Other,Bac+2,Master,[pro],Below average,PP,0.16244699772996996,Once a week,2.24675762934753,0,CANCELLED
100012,51685,nan,201217,"Law, Legal Studies",Bac+2,Autre,"[pro, study]",Good,PP,0.20924420615758865,Once every two weeks (or Bi-weekly),6.287464753932282,0,CANCELLED
100013,50769,Engineering,192045,"Banking, Insurance and Finance",Bac+3,Master,[pro],Good,PNP,2.782660416414503,Once every two weeks (or Bi-weekly),2.980225825469278,0,REJECTED
100014,52433,Computer science,203054,Engineering,Bac+1,Licence,[study],Average,PP,0.10300979556228818,Once a week,3.1790027125957603,0,REJECTED
100015,55311,Healthcare,198835,"Banking, Insurance and Finance",Bac+5+,Licence,[pro],Not specified (or Not provided),PNP,1.8342410779632807,Once a week,0.0,0,CANCELLED
100016,55051,Other,184385,"Commerce, Management, Economics, Management",Bac+4,Master,[pro],Below average,PNP,4.0,Once every two weeks (or Bi-weekly),3.583294137596398,1,COMPLETED
100017,56420,nan,194755,Engineering,Bac+1,Licence,[pro],Excellent,PP,1.8248339152507385,Once every two weeks (or Bi-weekly),2.1429572272968898,1,COMPLETED
100018,67568,Human Resources,204914,"Healthcare, Medicine",Bac+4,Master,[pro],Good,PNP,0.0,Once a week,6.003384538933689,0,CANCELLED
100019,69769,Healthcare,182824,Engineering,Bac+4,Licence,[pro],Good,PNP,1.7291987374320554,Once a week,4.698804497489371,0,REJECTED
100020,56396,Computer science,203238,"Law, Legal Studies",Bac+2,Autre,[pro],Not specified (or Not provided),PP,2.139641347520394,More than once per week,9.065120165757573,1,COMPLETED
100021,58666,Other,206269,"IT, IS, Data, Web, Tech",Bac+4,Master,"[pro, study]",Good,PP,0.6032389858594699,Once a week,7.915342166011251,0,REJECTED
100022,68942,Banking-Finance,185964,"Commerce, Management, Economics, Management",Bac+3,Master,[study],Good,PNP,0.3625582125762106,Once a week,2.468183711303897,0,CANCELLED
100023,68431,Human Resources,197370,"Commerce, Management, Economics, Management",Bac+4,Licence,[study],Below average,PNP,3.2718769556969622,Once every two weeks (or Bi-weekly),6.030617147242944,1,COMPLETED
100024,52747,Banking-Finance,209630,"IT, IS, Data, Web, Tech",Bac+4,Master,[pro],Average,PNP,1.457649146489921,Once a week,9.51956053102763,1,COMPLETED
100025,50189,Banking-Finance,204555,"Banking, Insurance and Finance",Bac+4,BTS,[pro],Not specified (or Not provided),PNP,1.2024175092885074,Once every two weeks (or Bi-weekly),0.0,0,REJECTED
100026,69118,Marketing,199874,"Marketing, Communication",Bac+2,Licence,"[pro, study]",Very good,PNP,1.4573104563758452,Once a week,2.50037971182935,0,REJECTED
100027,53005,Other,204460,"Accounting, Finance",Bac+2,Autre,[pro],Not specified (or Not provided),PNP,0.2915370428367099,Once a week,0.0,0,CANCELLED
100028,51899,Marketing,209902,"Commerce, Management, Economics, Management",Bac+3,Licence,[pro],Not specified (or Not provided),PNP,1.40573136940275,Once a week,1.9350492649098288,0,REJECTED
100029,51267,Healthcare,207309,"Commerce, Management, Economics, Management",Bac+1,Licence,"[pro, study]",Good,PNP,1.9514510335562503,Once every two weeks (or Bi-weekly),5.057543757277788,0,REJECTED
100030,67912,Computer science,183767,"Accounting, Finance",Bac+3,Master,[pro],Not specified (or Not provided),PNP,1.961498849078727,Once a week,0.7671755359196029,0,REJECTED
100031,61394,Teaching,193576,"Commerce, Management, Economics, Management",Bac+3,BTS,"[pro, study]",Below average,PNP,2.176204133380426,Once a week,4.467799014042961,0,REJECTED
100032,53556,Engineering,192268,"Accounting, Finance",Bac+2,Autre,[pro],Not specified (or Not provided),PNP,0.0,Once every two weeks (or Bi-weekly),3.968181533182193,0,REJECTED
100033,53890,Computer science,198390,"Commerce, Management, Economics, Management",Bac+2,Licence,[study],Not specified (or Not provided),PP,1.9374075825716415,Once a week,0.7022732358311718,0,CANCELLED
100034,58838,Computer science,187925,"Commerce, Management, Economics, Management",Bac+2,Licence,[pro],Good,PNP,0.7754144719652798,Once a week,8.548744334401817,0,CANCELLED
100035,64502,nan,183107,Engineering,Bac+3,Autre,"[pro, study]",Not specified (or Not provided),PNP,1.9501750486268756,Once a week,6.6607071863154985,1,COMPLETED
100036,60627,Other,200852,"Accounting, Finance",Bac+3,Licence,[pro],Average,PP,2.163724939106256,Once a week,6.078868797244047,0,REJECTED
100037,58792,Marketing,199714,"IT, IS, Data, Web, Tech",Bac+3,Licence,[pro],Not specified (or Not provided),PP,0.0,More than once per week,3.0599590464167434,0,REJECTED
100038,60555,Engineering,207617,Other,Bac+2,Autre,[pro],Very good,PP,2.238261798590384,Once every two weeks (or Bi-weekly),0.2567881903081821,0,REJECTED
100039,60253,Engineering,188722,"IT, IS, Data, Web, Tech",Bac+4,BTS,[pro],Very good,PNP,1.8007493364849494,Once a week,8.695363806053424,1,COMPLETED
100040,58433,"Accounting, management",197307,"IT, IS, Data, Web, Tech",Bac+4,Licence,[pro],Not specified (or Not provided),PNP,0.0,Once every two weeks (or Bi-weekly),0.0,0,REJECTED
100041,60233,Computer science,208694,Engineering,Bac+3,Master,[pro],Excellent,PP,0.0,Once a week,2.829315365679415,0,CANCELLED
100042,61016,Banking-Finance,202631,Engineering,Bac+1,Autre,[pro],Good,PP,4.0,More than once per week,1.7337018491793077,1,COMPLETED
100043,52612,Marketing,204816,"IT, IS, Data, Web, Tech",Bac+4,Master,[pro],Not specified (or Not provided),PNP,3.153574175715481,More than once per week,4.745295015592559,1,COMPLETED
100044,65787,Other,209676,Engineering,Bac+5+,Licence,[pro],Not specified (or Not provided),PNP,1.6685931593254368,Once a week,7.461828719879522,0,REJECTED
100045,67159,Banking-Finance,198280,"IT, IS, Data, Web, Tech",Bac+2,Licence,[pro],Very good,PP,1.4247136256349215,More than once per week,3.6583524719803417,1,COMPLETED
100046,62206,Engineering,187883,Other,Bac+3,BTS,[pro],Good,PP,1.1695804843419202,Once a week,5.634308792253995,0,REJECTED
100047,58226,Teaching,199708,Engineering,Bac+3,BTS,[pro],Not specified (or Not provided),PP,2.0607978186190787,Once a week,3.4411520862563747,0,REJECTED
100048,64541,Healthcare,193453,"IT, IS, Data, Web, Tech",Bac+1,BTS,"[pro, study]",Excellent,PNP,1.0260995453726582,Once every two weeks (or Bi-weekly),0.0,0,REJECTED
100049,53152,Teaching,197197,"IT, IS, Data, Web, Tech",Bac+4,Master,[pro],Very good,PP,0.3457528213975236,More than once per week,2.9274431668291268,0,REJECTED
100050,51585,Engineering,201134,"Accounting, Finance",Bac+1,Licence,"[pro, study]",Not specified (or Not provided),PNP,0.7778992011348299,Once a week,3.385368226344476,0,REJECTED
100051,53943,nan,187618,Engineering,Bac+4,Master,[pro],Not specified (or Not provided),PNP,0.8701676445230265,More than once per week,0.0,0,CANCELLED
100052,69457,Other,180782,"Law, Legal Studies",Bac+2,Autre,[study],Not specified (or Not provided),PNP,2.0243436073882886,Once a week,0.0,0,REJECTED
100053,51021,nan,194642,"Education, Teaching",Bac+3,BTS,[pro],Not specified (or Not provided),PNP,1.2536057743918663,Once every two weeks (or Bi-weekly),5.087061370024131,0,REJECTED
100054,61653,nan,200439,"Commerce, Management, Economics, Management",Bac+2,BTS,[pro],Not specified (or Not provided),PNP,0.5152908928453808,Once every two weeks (or Bi-weekly),5.880181572705867,0,REJECTED
100055,60805,Engineering,187789,"Law, Legal Studies",Bac+3,Master,[pro],Not specified (or Not provided),PNP,0.8008412287096655,Once a week,0.9660416379918673,0,REJECTED
100056,63417,"Accounting, management",204583,"Accounting, Finance",Bac+1,Licence,[pro],Not specified (or Not provided),PNP,2.022387962499553,More than once per week,6.503576009215109,1,COMPLETED
100057,57989,Teaching,208349,"Banking, Insurance and Finance",Bac+3,Master,[pro],Not specified (or Not provided),PP,1.6370300109399576,More than once per week,5.690309775989818,0,CANCELLED
100058,59692,"Accounting, management",194002,Engineering,Bac+2,Licence,[pro],Very good,PNP,1.7171877833296079,Once a week,0.0,0,REJECTED
100059,62990,Teaching,209246,"IT, IS, Data, Web, Tech",Bac+2,Licence,[pro],Good,PNP,0.0,Once a week,1.7673331667966066,0,CANCELLED
100060,56873,Banking-Finance,199523,"Commerce, Management, Economics, Management",Bac+1,Master,[pro],Good,PNP,2.2656792925898506,More than once per week,1.925204946996251,0,REJECTED
100061,55675,Other,191981,"Healthcare, Medicine",Bac+4,Licence,"[pro, study]",Good,PNP,2.6566466291554858,Once every two weeks (or Bi-weekly),2.9425308593645054,1,COMPLETED
100062,50161,Banking-Finance,185007,"Banking, Insurance and Finance",Bac+3,Master,[pro],Not specified (or Not provided),PNP,2.3116861809680316,Once every two weeks (or Bi-weekly),2.847444100749067,1,COMPLETED
100063,54297,Computer science,200435,"Education, Teaching",Bac+2,Master,[pro],Average,PNP,2.850897352374028,Once a week,2.302771452257129,1,COMPLETED
100064,50995,Banking-Finance,187575,"IT, IS, Data, Web, Tech",Bac+3,Licence,[pro],Average,PNP,3.0277362776308543,Once a week,5.766933781557056,1,COMPLETED
100065,61534,Healthcare,205093,"Commerce, Management, Economics, Management",Bac+4,Master,"[pro, study]",Excellent,PNP,2.802914601891704,More than once per week,4.969167371767462,1,COMPLETED
100066,57629,Teaching,199574,"Commerce, Management, Economics, Management",Bac+5+,Master,[study],Average,PNP,0.018346173856064907,Once every two weeks (or Bi-weekly),6.327038291980417,0,REJECTED
100067,51016,nan,196184,"Banking, Insurance and Finance",Bac+1,Master,"[pro, study]",Average,PNP,1.0387830784244234,Once a week,3.7540111656555095,0,CANCELLED
100068,58529,Human Resources,191294,Other,Bac+3,Licence,[pro],Not specified (or Not provided),PNP,0.19259525025806457,Once a week,0.0,0,REJECTED
100069,67262,Teaching,185637,"Commerce, Management, Economics, Management",Bac+3,Licence,[pro],Below average,PP,2.423241132665696,Once every two weeks (or Bi-weekly),4.699156355508768,0,REJECTED
100070,59268,Teaching,192770,"Banking, Insurance and Finance",Bac+1,Licence,[pro],Not specified (or Not provided),PNP,1.7645733418156966,More than once per week,2.4558139189925305,0,REJECTED
100071,62185,Marketing,194542,"Accounting, Finance",Bac+2,Licence,[pro],Very good,PP,0.3279452877377411,Once a week,0.0,0,REJECTED
100072,56331,Teaching,190908,"Healthcare, Medicine",Bac+4,BTS,[pro],Not specified (or Not provided),PNP,2.2884648341536433,Once a week,7.36143187631475,0,REJECTED
100073,58571,Human Resources,196962,"Banking, Insurance and Finance",Bac+3,Autre,[pro],Not specified (or Not provided),PP,0.0,Once a week,4.225241698114771,0,CANCELLED
100074,57208,Computer science,204522,"Accounting, Finance",Bac+1,Master,[study],Excellent,PNP,2.1338547311644906,Once a week,1.143348659791785,1,COMPLETED
100075,55276,Computer science,200866,"Healthcare, Medicine",Bac+3,Licence,[pro],Very good,PNP,1.899393768792361,More than once per week,4.204283223908317,0,REJECTED
100076,68446,Other,192699,"IT, IS, Data, Web, Tech",Bac+2,Autre,"[pro, study]",Average,PNP,1.6324773326261766,Once a week,4.336346466876274,0,REJECTED
